test#,vincristine,mitoxantrone,etoposide,daunorubicin,cell viability
190,12.5,40,100,9.375,0.71 
191,12.5,40,100,18.75,0.69 
192,12.5,40,100,75,0.65 
193,50,0,0,0,0.54 
194,50,0,0,9.375,0.58 
195,50,0,0,18.75,0.58 
196,50,0,0,75,0.59 
197,50,0,12.5,0,0.76 
198,50,0,12.5,9.375,0.74 
199,50,0,12.5,18.75,0.79 
200,50,0,12.5,75,0.62 
201,50,0,25,0,0.74 
202,50,0,25,9.375,0.75 
203,50,0,25,18.75,0.74 
204,50,0,25,75,0.65 
205,50,0,100,0,0.75 
206,50,0,100,9.375,0.73 
207,50,0,100,18.75,0.68 
208,50,0,100,75,0.64 
209,50,5,0,0,0.75 
210,50,5,0,9.375,0.69 
211,50,5,0,18.75,0.74 
212,50,5,0,75,0.67 
213,50,5,12.5,0,0.79 
214,50,5,12.5,9.375,0.81 
215,50,5,12.5,18.75,0.77 
216,50,5,12.5,75,0.67 
217,50,5,25,0,0.83 
218,50,5,25,9.375,0.75 
219,50,5,25,18.75,0.64 
220,50,5,25,75,0.60 
221,50,5,100,0,0.59 
222,50,5,100,9.375,0.56 
223,50,5,100,18.75,0.53 
224,50,5,100,75,0.46 
225,50,10,0,0,0.51 
226,50,10,0,9.375,0.58 
227,50,10,0,18.75,0.57 
228,50,10,0,75,0.54 
229,50,10,12.5,0,0.66 
230,50,10,12.5,9.375,0.68 
231,50,10,12.5,18.75,0.65 
232,50,10,12.5,75,0.58 
233,50,10,25,0,0.59 
234,50,10,25,9.375,0.63 
235,50,10,25,18.75,0.57 
236,50,10,25,75,0.50 
237,50,10,100,0,0.50 
238,50,10,100,9.375,0.50 
239,50,10,100,18.75,0.49 
240,50,10,100,75,0.42 
241,50,40,0,0,0.59 
242,50,40,0,9.375,0.61 
243,50,40,0,18.75,0.66 
244,50,40,0,75,0.53 
245,50,40,12.5,0,0.64 
246,50,40,12.5,9.375,0.70 
247,50,40,12.5,18.75,0.66 
248,50,40,12.5,75,0.51 
249,50,40,25,0,0.62 
250,50,40,25,9.375,0.55 
251,50,40,25,18.75,0.57 
252,50,40,25,75,0.47 
253,50,40,100,0,0.55 
254,50,40,100,9.375,0.53 
255,50,40,100,18.75,0.55 
256,50,40,100,75,0.47 
