pair_key,pair_name,drug_a_key,drug_a_name,drug_b_key,drug_b_name,drug_a_level,drug_b_level,mean_cell_viability,median_cell_viability,min_cell_viability,max_cell_viability,n_observations
vincristine + daunorubicin,Vincristine + Daunorubicin,vincristine,Vincristine,daunorubicin,Daunorubicin,12.5,18.75,0.81,0.805,0.69,0.91,16
vincristine + daunorubicin,Vincristine + Daunorubicin,vincristine,Vincristine,daunorubicin,Daunorubicin,12.5,75.0,0.681875,0.675,0.56,0.78,16
vincristine + daunorubicin,Vincristine + Daunorubicin,vincristine,Vincristine,daunorubicin,Daunorubicin,50.0,0.0,0.650625,0.63,0.5,0.83,16
vincristine + daunorubicin,Vincristine + Daunorubicin,vincristine,Vincristine,daunorubicin,Daunorubicin,50.0,9.375,0.649375,0.655,0.5,0.81,16
vincristine + daunorubicin,Vincristine + Daunorubicin,vincristine,Vincristine,daunorubicin,Daunorubicin,50.0,18.75,0.636875,0.645,0.49,0.79,16
vincristine + daunorubicin,Vincristine + Daunorubicin,vincristine,Vincristine,daunorubicin,Daunorubicin,50.0,75.0,0.5575,0.56,0.42,0.67,16
vincristine + etoposide,Vincristine + Etoposide,vincristine,Vincristine,etoposide,Etoposide,0.0,0.0,0.88875,0.9,0.78,1.0,16
vincristine + etoposide,Vincristine + Etoposide,vincristine,Vincristine,etoposide,Etoposide,0.0,12.5,0.874375,0.88,0.79,1.01,16
vincristine + etoposide,Vincristine + Etoposide,vincristine,Vincristine,etoposide,Etoposide,0.0,25.0,0.8625,0.86,0.77,0.96,16
vincristine + etoposide,Vincristine + Etoposide,vincristine,Vincristine,etoposide,Etoposide,0.0,100.0,0.79875,0.8,0.73,0.88,16
vincristine + etoposide,Vincristine + Etoposide,vincristine,Vincristine,etoposide,Etoposide,6.25,0.0,0.874375,0.87,0.73,0.98,16
vincristine + etoposide,Vincristine + Etoposide,vincristine,Vincristine,etoposide,Etoposide,6.25,12.5,0.845625,0.86,0.74,0.93,16
vincristine + etoposide,Vincristine + Etoposide,vincristine,Vincristine,etoposide,Etoposide,6.25,25.0,0.79375,0.805,0.66,0.89,16
vincristine + etoposide,Vincristine + Etoposide,vincristine,Vincristine,etoposide,Etoposide,6.25,100.0,0.70875,0.73,0.56,0.81,16
vincristine + etoposide,Vincristine + Etoposide,vincristine,Vincristine,etoposide,Etoposide,12.5,0.0,0.825,0.82,0.69,0.97,16
vincristine + etoposide,Vincristine + Etoposide,vincristine,Vincristine,etoposide,Etoposide,12.5,12.5,0.8225,0.845,0.65,0.91,16
vincristine + etoposide,Vincristine + Etoposide,vincristine,Vincristine,etoposide,Etoposide,12.5,25.0,0.785625,0.795,0.63,0.96,16
